Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Humidity,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_WVTR
1,0,100,NA,NA,2,40.3,1,10400,NA,NA,38,100,NA,NA,NA,NA,47.6
1,0,100,NA,NA,2,44.7,1,10400,NA,NA,38,100,NA,NA,NA,NA,48.8
1,0,0,NA,NA,2,127,1,10400,NA,NA,38,100,NA,NA,NA,NA,217
1,0,100,NA,NA,2,40.3,2,10400,NA,NA,38,100,NA,NA,NA,NA,254
1,0,100,NA,NA,2,44.7,3,10400,NA,NA,38,100,NA,NA,NA,NA,288
0.3,0,100,NA,NA,2,71.5,1,4900,NA,NA,25,50,NA,NA,NA,NA,NA
0.3,0,100,NA,2,2,80.6,1,4900,NA,NA,25,50,NA,NA,NA,NA,NA
0.3,0,100,NA,2,2,79.2,1,4900,NA,NA,25,50,NA,NA,NA,NA,NA
0.3,0,100,NA,2,2,84.1,1,4900,NA,NA,25,50,NA,NA,NA,NA,NA
2,0,100,NA,NA,2,63.5,1,NA,NA,NA,25,50,NA,NA,NA,NA,39.86
2,0,90.88,NA,3,2,71.1,1,NA,NA,NA,25,50,NA,NA,NA,NA,46.916
2,0,90.09,NA,3,2,73.7,1,NA,NA,NA,25,50,NA,NA,NA,NA,26.334
0.3,100,0,NA,NA,2,50,1,1963,NA,NA,25,50,NA,NA,NA,NA,NA
0.3,99.75,0,NA,1,3,54.9,1,1963,NA,NA,25,50,NA,NA,NA,NA,NA
0.3,99.5,0,NA,1,3,55.6,1,1963,NA,NA,25,50,NA,NA,NA,NA,NA
0.3,99,0,NA,1,3,58.6,1,1963,NA,NA,25,50,NA,NA,NA,NA,NA
NA,98.5,0,NA,1,3,64.6,1,1963,NA,NA,25,50,NA,NA,NA,NA,NA
NA,0,100,NA,NA,1,NA,NA,NA,NA,NA,10,79,NA,NA,NA,NA,NA
NA,0,95,NA,1,1,NA,NA,NA,NA,NA,10,79,NA,NA,NA,NA,NA
NA,0,90,NA,1,1,NA,NA,NA,NA,NA,10,79,NA,NA,NA,NA,NA
NA,0,95,NA,1,1,NA,NA,NA,NA,NA,10,79,NA,NA,NA,NA,NA
NA,0,90,NA,1,1,NA,NA,NA,NA,NA,10,79,NA,NA,NA,NA,NA
1,100,0,NA,NA,2,90,1,NA,NA,NA,23,50,NA,NA,NA,NA,NA
1,99,0,NA,1,2,90,1,NA,NA,NA,23,50,NA,NA,NA,NA,NA
1,98,0,NA,1,2,90,1,NA,NA,NA,23,50,NA,NA,NA,NA,NA
1,97,0,NA,1,2,90,1,NA,NA,NA,23,50,NA,NA,NA,NA,NA
0.5,7,0,62.7,0,3,35,3,2500,NA,NA,38,90,NA,NA,NA,NA,NA
0.5,14.3,0,57.1,0,3,35,2,2500,NA,NA,38,90,NA,NA,NA,NA,NA
